devesh@Devesh:~/work/module1$ ps -e
    PID TTY          TIME CMD
   1876 ?        00:00:00 gsd-media-keys
   1877 ?        00:00:00 gsd-power
   1885 ?        00:00:00 gsd-print-notif
   1886 ?        00:00:00 gsd-rfkill
   1896 ?        00:00:00 gsd-screensaver
   1899 ?        00:00:00 ibus-memconf
   1900 ?        00:00:00 gsd-sharing
   1903 ?        00:00:02 ibus-extension-
   1905 ?        00:00:00 gsd-smartcard
   1925 ?        00:00:00 ibus-portal
   1927 ?        00:00:00 gsd-sound
   1935 ?        00:00:00 gsd-wacom
   1982 ?        00:00:00 gsd-disk-utilit
   1984 ?        00:00:00 evolution-alarm
   2020 ?        00:00:00 gsd-printer
   2030 ?        00:00:00 Xwayland
   2063 ?        00:00:09 snap-store
   2090 ?        00:00:01 ibus-engine-sim
   2104 ?        00:00:00 gvfsd-metadata
   2113 ?        00:00:00 xdg-desktop-por
   2133 ?        00:00:00 xdg-desktop-por
   2138 ?        00:00:00 gsd-xsettings
   2145 ?        00:00:00 gjs
   2215 ?        00:00:00 ibus-x11
   2259 ?        00:00:00 VBoxClient
   2260 ?        00:00:00 VBoxClient
   2288 ?        00:00:00 VBoxClient
   2289 ?        00:00:00 VBoxClient
   2293 ?        00:00:01 gjs
   2305 ?        00:00:00 xdg-desktop-por
   2384 ?        00:00:01 fwupd
   2459 ?        00:00:00 update-notifier
   2902 ?        00:00:01 kworker/u4:1-events_unbound
   2907 ?        00:00:00 kworker/1:1H-kblockd
   2945 ?        00:00:00 kworker/u4:2-events_power_efficient
   2960 ?        00:00:00 kworker/1:1-mm_percpu_wq
   2962 ?        00:00:00 kworker/1:2H-kblockd
   2976 ?        00:00:00 gnome-terminal
   2979 ?        00:00:00 gnome-terminal.
   2984 ?        00:00:07 gnome-terminal-
   3002 pts/0    00:00:00 bash
   3046 ?        00:00:00 kworker/1:0
   3048 pts/0    00:00:00 ps
